Time Stamp,Data Point 1,Data Point 2,Data Point 3,Data Point 4,Data Point 5
06-Feb-20 13:21:00,Off,No Data,506.9505615,507.0041809,Off
06-Feb-20 13:22:00,Off,No Data,509.46875,509.2571106,Off
06-Feb-20 13:23:00,Off,No Data,513.3500977,513.3880005,Off
06-Feb-20 13:24:00,Off,No Data,517.4400635,517.4925537,Off
06-Feb-20 13:25:00,Off,No Data,521.7369385,522.5794678,Off
06-Feb-20 13:26:00,Off,No Data,529.4514771,530.0917969,Off
06-Feb-20 13:27:00,Off,No Data,536.7928467,537.3092651,Off
06-Feb-20 13:28:00,Off,No Data,542.0978394,542.1644897,Off
06-Feb-20 13:29:00,Off,No Data,545.4451294,545.6413574,Off
06-Feb-20 13:30:00,Off,No Data,551.519165,551.3002319,Off
06-Feb-20 13:31:00,Off,No Data,556.4952393,556.6210327,Off
06-Feb-20 13:32:00,Off,No Data,560.2905273,560.5886841,Off
06-Feb-20 13:33:00,Off,No Data,566.0620728,566.0362549,Off
06-Feb-20 13:34:00,Off,No Data,572.4226685,572.6033936,Off
06-Feb-20 13:35:00,Off,No Data,576.6428223,576.5797729,Off
06-Feb-20 13:36:00,Off,No Data,580.0855103,579.7736816,Off
06-Feb-20 13:37:00,Off,No Data,584.5892944,584.7325439,Off
06-Feb-20 13:38:00,Off,No Data,589.5145264,589.8045654,Off
06-Feb-20 13:39:00,Off,No Data,592.0365601,593.0482178,Off
06-Feb-20 13:40:00,Off,No Data,598.4273071,598.3587036,Off
06-Feb-20 13:41:00,Off,No Data,599.6956787,599.9656372,Off
06-Feb-20 13:42:00,Off,No Data,599.6955566,599.9658203,Off
06-Feb-20 13:43:00,Off,No Data,599.6954346,599.9660645,Off
06-Feb-20 13:44:00,Off,No Data,599.6953125,599.9663086,Off
06-Feb-20 13:45:00,Off,No Data,599.6952515,599.9665527,Off
06-Feb-20 13:46:00,Off,No Data,599.6951294,599.9667358,Off
06-Feb-20 13:47:00,Off,No Data,599.6950073,599.96698,Off
06-Feb-20 13:48:00,Off,No Data,599.6948853,599.9672241,Off
06-Feb-20 13:49:00,Off,No Data,599.6948242,599.9674683,Off
06-Feb-20 13:50:00,Off,No Data,599.6947021,599.9676514,Off
06-Feb-20 13:51:00,Off,No Data,599.6945801,599.9678955,Off
06-Feb-20 13:52:00,Off,No Data,599.694458,599.9681396,Off
06-Feb-20 13:53:00,Off,No Data,599.694397,599.9683838,Off
06-Feb-20 13:54:00,Off,No Data,599.6942749,599.9685669,Off
06-Feb-20 13:55:00,Off,No Data,599.6941528,599.968811,Off
06-Feb-20 13:56:00,Off,No Data,599.6940308,599.9690552,Off
06-Feb-20 13:57:00,Off,No Data,599.6939697,599.9692993,Off
06-Feb-20 13:58:00,Off,No Data,599.6938477,599.9694824,Off
06-Feb-20 13:59:00,Off,No Data,599.6937256,599.9697266,Off
06-Feb-20 14:00:00,Off,No Data,599.6936035,599.9699707,Off
06-Feb-20 14:01:00,Off,No Data,599.6934814,599.9702148,Off
06-Feb-20 14:02:00,Off,No Data,599.6934204,599.9703979,Off
06-Feb-20 14:03:00,Off,No Data,599.6932983,599.9706421,Off
06-Feb-20 14:04:00,Off,No Data,599.6931763,599.9708862,Off
06-Feb-20 14:05:00,Off,No Data,599.6930542,599.9711304,Off
06-Feb-20 14:06:00,Off,No Data,599.6929932,599.9713135,Off
06-Feb-20 14:07:00,Off,No Data,599.6928711,599.9715576,Off
06-Feb-20 14:08:00,Off,No Data,599.692749,599.9718018,Off
06-Feb-20 14:09:00,Off,No Data,599.692627,599.9720459,Off
06-Feb-20 14:10:00,Off,No Data,599.6925659,599.972229,Off
06-Feb-20 14:11:00,Off,No Data,599.6924438,599.9724731,Off
